연번,브랜드명,사업장명,사업자등록번호,대표자명,업종(중분류),업종(소분류),주소,직원수,임금(월),소재지,수평적 조직문화,순이익증가율,총자산순이익율,부채비율,총자본회전율,워라밸,자아실현,육아휴직,"사내 육아 
시설/서비스","근무안정성
(위험도)","사내 장애인
시설/서비스","근무안정성
(위험도)",수평적 조직 문화
2022-02525,이노비즈기업,주식회사 헬퍼스하이,6108633694,박완주,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,경기도 군포시 흥안대로27번길 28-107층,26,2428333.333,경기도,2.4,628.9,53.6,53.6,6.4,2.8,2.3,1,0,,1,0,2.4
2022-00038,신청기업,주식회사 해성특수지,1378604428,문상권,C.제조업(10~34),기타 종이 및 판지 제품 제조업,경기 파주시 탄현면 검산로 348-20,25,3506666.667,경기도,4,NA,1.8,141.9,1.7,4,5,0,0,,1,0,4
2022-00035,신청기업,주식회사 한신,1178117619,이민종,C.제조업(10~34),통신 및 방송 장비 제조업,경기 화성시 비봉면 주석로 640-10,137,3484473,경기도,2.5,213.5,17.5,54.5,2.3,1.5,1.8,0,0,,0,0,2.5
2022-00006,신청기업,주식회사 필텍,1358176784,이종필,C.제조업(10~34),통신 및 방송 장비 제조업,"경기도 용인시 기흥구 구성로 357(청덕동, 용인테크노밸리) D동 207호",28,3165000,경기도,4,13.8,3.9,136.1,0.9,4,4,1,0,,0,0,4
2022-08633,이노비즈기업,주식회사 피오씨,4178126605,김용식,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,전라남도 여수시 삼동3길 17412호,7,2500000,전라남도,NA,797.1,18.2,60.7,2,NA,NA,1,1,,1,0,NA
2022-14468,사회적기업,주식회사 퓨전국악이어랑,8748101369,이자영,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 및 예술관련 서비스업,대구 남구 중앙대로31길 172-2(대명동),20,2500000,대구광역시,NA,27.7,62.4,5.7,4.9,NA,NA,0,0,,1,0,NA
2022-00014,신청기업,주식회사 폴리코리아,4148600917,안희수,C.제조업(10~34),플라스틱제품 제조업,"경상남도 창원시 성산구 완암로 50(성산동, SK테크노파크 테크동) 809호",21,2500000,경상남도,NA,20,7.2,165.1,1.4,NA,NA,0,0,,1,0,NA
2022-11806,메인비즈기업,주식회사 파나,6178171938,김시영,I.숙박 및 음식점업(55~56),음식점업,경상남도 양산시 상북면 양산대로 1266-3(상북면),15,2500000,경상남도,NA,-88.2,1.2,263.9,0.6,NA,NA,1,1,,1,0,NA
2022-00024,신청기업,주식회사 티엔코아,1198649878,김동현,C.제조업(10~34),컴퓨터 및 주변장치 제조업,"서울특별시 강서구 마곡중앙2로 55층 510호 (510호(마곡동,메트로비즈타워))",35,2333333.333,서울특별시,2.3,16.4,16.9,9.8,0.5,2.1,2.2,1,0,,0,0,2.3
2022-00475,신청기업,주식회사 투게더스,1378139709,이근수,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,"인천 부평구 부평대로 301901호 (청천동, 남광센트렉스)",40,2291666.667,인천광역시,3.5,52.2,17.9,39,1.3,4.5,3,1,0,,1,0,3.5
2022-11671,메인비즈기업,주식회사 토너월드,1218196990,차성호,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",컴퓨터 및 통신장비 수리업,인천 미추홀구 미추홀대로669번길 81(도화동),11,NA,인천광역시,NA,64.3,13.2,97,2.1,NA,NA,0,0,,1,0,NA
2022-00130,신청기업,주식회사 큐아이티,1358621800,배정환,C.제조업(10~34),"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",경기도 수원시 영통구 대학4로 17402호 (에이스광교타워1 (이의동)),12,2750000,경기도,NA,23.1,13.7,149.8,1.5,NA,NA,1,0,,1,0,NA
2022-00003,신청기업,주식회사 코스플로우,6308700855,구봉길,G.도매 및 소매업(45~47),상품 중개업,인천광역시 계양구 서운산단로2길 72(서운동) B동 4층,20,2987500,인천광역시,NA,-68,12.4,23.5,1.9,NA,NA,0,0,,0,0,NA
2022-00775,대한민국 일자리 으뜸기업,주식회사 코드스테이츠,7038800878,김인기,P.교육 서비스업(85),기타 교육기관,서울특별시 서초구 서초대로 39620층,200,2845833.333,서울특별시,4.2,NA,36.2,89,2.4,3.8,4,1,0,,0,0,4.2
2022-05111,이노비즈기업,주식회사 케이제이아이,1378131987,이용승,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",인천 서구 백범로910번길 68(가좌동),27,2900000,인천광역시,3.5,-4.9,7.1,228.4,0.5,4.5,3,0,0,,1,0,3.5
2022-00190,신청기업,주식회사 케이씨피드,5058100799,"정한식, 김희철",C.제조업(10~34),"곡물가공품, 전분 및 전분제품 제조업",경북 영천시 금호읍 금호로 320((주)케이씨피드),94,2603666.667,경상북도,2.6,83.1,2.6,64.2,0.8,3.1,2.3,0,0,,0,0,2.6
2022-12608,메인비즈기업,주식회사 축산랜드,5068184190,김성길,I.숙박 및 음식점업(55~56),음식점업,경상북도 포항시 북구 장량로262번길 23(양덕동),9,2525000,경상북도,NA,268.9,1.7,113.5,0.4,NA,NA,0,0,,0,0,NA
2022-14346,사회적기업,주식회사 천사,2278116902,"고동길, 이숙만",Q.보건업 및 사회복지 서비스업(86~87),거주 복지시설 운영업,강원 속초시 중앙로 25(교동),20,2500000,강원도,NA,NA,-5.4,301,1.2,NA,NA,0,0,,0,0,NA
2022-00069,신청기업,주식회사 주원씨앤아이,1288654297,손정진,G.도매 및 소매업(45~47),기계장비 및 관련 물품 도매업,경기 김포시 양촌읍 김포한강4로 391,38,3229166.667,경기도,2,73.3,8.2,259.1,3.6,4,3,0,0,,0,0,2
2022-03727,이노비즈기업,주식회사 이비가푸드,3148623662,김영철,I.숙박 및 음식점업(55~56),음식점업,대전 서구 계룡로 199(월평동),51,2980833.333,대전광역시,3.5,-91.4,0.3,89,2.1,3.2,2.8,0,0,,0,0,3.5
