연번,브랜드명,사업장명,사업자등록번호,대표자명,업종(중분류),업종(소분류),주소,직원수,임금(월),소재지,수평적 조직문화,순이익증가율,총자산순이익율,부채비율,총자본회전율,워라밸,자아실현,육아휴직,"사내 육아 
시설/서비스","근무안정성
(위험도)","사내 장애인
시설/서비스","근무안정성
(위험도)",수평적 조직 문화
2022-08404,이노비즈기업,나우환경산업(주),1278122424,유재석,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","하수, 폐수 및 분뇨 처리업",경기 의정부시 평화로 660동진빌딩 501호 (가능동),40,2083333.333,경기도,3.7,NA,-13.5,104.8,1.3,3,3.3,1,1,,1,0,3.7
2022-12131,메인비즈기업,부일특장(주),1378157667,박재일,H.운수 및 창고업(49~52),기타 운송관련 서비스업,인천 서구 신동안길 27(금곡동),27,1732500,인천광역시,3,73.8,11.5,12.7,1,2,1,1,1,,1,0,3
2022-14515,사회적기업,꿈틀 협동조합,6568600317,한정우,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,"경기 수원시 권선구 호매실로104번길 90(호매실동, JD타워) 401호",3,1935000,경기도,NA,-63,1.2,1139.8,1.6,NA,NA,0,0,,0,0,NA
2022-11772,메인비즈기업,길연종합관리(주),6028158985,장명안,L.부동산업(68),부동산 관련 서비스업,"부산광역시 부산진구 중앙대로 584(범천동, 서면베르빌2) 309호",28,2977500,부산광역시,NA,12.1,8.9,28.5,1.5,NA,NA,1,0,,0,0,NA
2022-10515,메인비즈기업,글로리아항공주식회사,1018160275,신대현,P.교육 서비스업(85),일반 교습 학원,서울 동대문구 왕산로 14(신설동) 글로리아타워 11층,108,1500000,서울특별시,2.1,NA,-3.5,255.3,0.2,2.6,2.2,1,1,,1,0,2.1
2022-12109,메인비즈기업,(주)그린글로브라인,1048606464,홍은표,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울특별시 영등포구 경인로 775(문래동3가, 에이스하이테크시티) 1동 709호",91,2460000,서울특별시,2,379.1,22,138.5,4.8,1.7,1.7,0,0,,0,0,2
2022-09863,메인비즈기업,광일환경(주),1258152882,김명환,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,경기 안성시 미양면 양변길 93,28,3987500,경기도,NA,78.8,20.2,47.4,1.4,NA,NA,0,0,,1,0,NA
2022-03640,이노비즈기업,광일토건환경(주),1358119949,박노일,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,경기 용인시 처인구 중부대로 1014(삼가동),40,3061666.667,경기도,NA,58.9,16.9,4.8,1.4,NA,NA,0,0,,0,0,NA
2022-07773,이노비즈기업,광명디앤씨 주식회사,6168197255,김종헌,F.건설업(41~42),건설업본사(소분류),"제주 제주시 도남로15길 5영진빌딩 3층 (도남동, 영진빌딩)",38,2809166.667,제주도,NA,-94.2,1.3,3,0.7,NA,NA,0,0,,0,0,NA
2022-14425,사회적기업,경남돌봄지원센터 사회적협동조합,4878200237,김영철,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,경상남도 고성군 고성읍 남포로140번길 7-21,17,2145000,경상남도,NA,-88.5,3.6,189.8,2.2,NA,NA,0,0,,1,0,NA
2022-00886,노사문화우수기업,거제해양관광개발공사,6128139345,권순옥,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,"경남 거제시 거제중앙로 1849(고현동, 거제시공공청사)",125,2250000,경상남도,3.8,NA,-5.3,12,0.4,4.5,3.6,0,0,,1,0,3.8
2022-12054,메인비즈기업,(주)로얄디엔엘,1058154154,김영수,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울 금천구 가산디지털1로 219310,311호 (가산동)",30,2875000,서울특별시,2.9,234.2,9.7,221.9,2.9,3.7,2.8,1,1,,1,0,2.9
2022-01091,인재육성형중소기업,강남건설(주),6048110920,서정규,F.건설업(41~42),건설업본사(소분류),부산 사하구 다산로105번길 40(다대동),49,2488333.333,부산광역시,4,149.3,4.2,189.4,2.7,5,4,0,0,,0,0,4
2022-00885,노사문화우수기업,가야개발(주),6228100022,김영섭,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,경남 김해시 삼방동산 1번지,135,3477500,경상남도,4,72.7,2.6,189.4,0.2,4,2,0,0,,0,0,4
2022-00337,신청기업,(합)동양아이텍,2218114978,고광만,F.건설업(41~42),건설업본사(소분류),강원 춘천시 춘천로 402(후평동),59,3041666.667,강원도,NA,9.4,4.1,67.7,1,NA,NA,1,1,,0,0,NA
2022-00057,신청기업,(주)히릭스태화,1378154791,이준구,C.제조업(10~34),일반 목적용 기계 제조업,인천광역시 서구 검단로114번길 10,12,3125833.333,인천광역시,NA,NA,-4.6,132.6,1,NA,NA,1,0,,1,0,NA
2022-04000,이노비즈기업,(주)화성,2268123109,최종두,F.건설업(41~42),건설업본사(소분류),강원도 강릉시 안현로 152(안현동),52,NA,강원도,2.2,14.1,7.4,30.6,2.7,2.4,2,1,0,,1,0,2.2
2022-12022,메인비즈기업,주식회사 트랜스올,2208732790,민경조,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울 영등포구 당산로41길 11E동 1902호 (당산동4가, 당산 SK V1 CENTER)",38,3212500,서울특별시,2.6,NA,19.2,250.1,7.1,3.1,2.6,1,1,,1,0,2.6
2022-04484,이노비즈기업,(주)협성기전,1188100203,"김경현, 김판수(각자대표)",F.건설업(41~42),건설업본사(소분류),경기 성남시 분당구 대왕판교로670 (삼평동) 유스페이스2 B동 409호,111,2352500,경기도,1.9,767.6,8,41.9,0.9,1.9,2.2,0,0,,1,0,1.9
2022-14358,사회적기업,(주)행복더하기,1418130406,유명곤,Q.보건업 및 사회복지 서비스업(86~87),거주 복지시설 운영업,경기도 파주시 금물다리길 2713층,460,NA,경기도,4,219.5,20.6,198.1,1.9,4,1,0,0,,1,0,4
2022-00819,대한민국 일자리 으뜸기업,(주)해우지엘에스,1178115697,김진일,H.운수 및 창고업(49~52),기타 운송관련 서비스업,서울 강서구 강서로 402678통 10반 재영빌딩 8층 (등촌동),364,2500000,서울특별시,2.5,-89.9,0.3,171.3,3.6,2.4,2.5,0,0,,0,0,2.5
2022-04963,이노비즈기업,(주)한진산업,1328112869,김상현,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,경기도 남양주시 진접읍 양진로 935,67,2656666.667,경기도,2.1,-57,10.5,67.7,0.9,2.6,2,1,1,,0,0,2.1
2022-05907,이노비즈기업,(주)한신산업,5148121838,김건호,F.건설업(41~42),건설업본사(소분류),경상북도 영천시 대창면 장곡길 5,70,3321666.667,경상북도,1.7,-33.3,5.6,121.3,3,1.4,1.8,0,0,,0,0,1.7
2022-00042,신청기업,(주)한독,5108101859,김정호,C.제조업(10~34),기타 종이 및 판지 제품 제조업,경북 김천시 공단로 103-19(대광동),65,5584166.667,경상북도,NA,41.5,4.3,199.9,1.7,NA,NA,0,0,,1,0,NA
2022-00099,신청기업,(주)한국표준협회미디어,2208680349,김병석,"M.전문, 과학 및 기술 서비스업(70~73)",광고업,"서울 강남구 테헤란로69길 53층 (삼성동, DT센터 3층)",26,2575000,서울특별시,1.8,184.9,9.1,30.3,1.3,3,2,1,0,,0,0,1.8
2022-10097,메인비즈기업,(주)한강건설환경,1218132017,최병관,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",인천 강화군 불은면 강화동로 348(한강환경),31,3267500,인천광역시,NA,15.8,7.9,36.8,0.7,NA,NA,0,0,,1,0,NA
2022-00815,대한민국 일자리 으뜸기업,(주)하나로티앤에스,1248159766,정연돈,H.운수 및 창고업(49~52),기타 운송관련 서비스업,경기도 수원시 영통구 광교로 105-0(이의동) 경기알앤디비센터 415호,678,3338333.333,경기도,2.7,132.7,10,169.3,3.2,2.7,2.5,0,0,,1,0,2.7
2022-00814,대한민국 일자리 으뜸기업,(주)피앤에스네트웍스,1108180601,김상현,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울특별시 영등포구 의사당대로 83(여의도동, HP빌딩) 9층",133,3319166.667,서울특별시,2.4,58.5,32.4,82.5,4.5,3,2.2,0,0,,0,0,2.4
2022-01652,이노비즈기업,(주)피쉐프코리아,4548700299,박기태,I.숙박 및 음식점업(55~56),음식점업,대구 중구 북성로4길 43(인교동),6,1950000,대구광역시,1.7,48.1,3.4,275.5,1.3,1,1.7,0,0,,0,0,1.7
2022-07238,이노비즈기업,(주)포이닉스,1358162072,김병채,F.건설업(41~42),건설업본사(소분류),경기도 수원시 영통구 광교로 105520호,41,3610833.333,경기도,2.2,293.9,5.3,308.7,1.5,2.8,2.7,0,0,,1,0,2.2
2022-00119,신청기업,(주)포스텍,1348169825,이수영,C.제조업(10~34),기타 전기장비 제조업,"경기 안산시 단원구 엠티브이20로12번길 40(성곡동, (주)포스텍)",53,2029166.667,경기도,2.8,72.6,6.1,60.3,0.5,3.5,2.7,1,1,,1,0,2.8
2022-00107,신청기업,(주)파마피아,2158631491,"신용희, 문규연",G.도매 및 소매업(45~47),생활용품 도매업,서울 송파구 송이로32길 12(문정동),33,2275000,서울특별시,2.3,7.6,11,35.2,1.7,2.5,3,1,1,,0,0,2.3
2022-00043,신청기업,(주)팀버라인,1048177417,박용일,H.운수 및 창고업(49~52),기타 운송관련 서비스업,서울 중구 퇴계로 235남산센트럴자이 314 (충무로4가),37,2821666.667,서울특별시,2.8,134.3,14.5,111,3.9,4.1,3.4,1,0,,1,0,2.8
2022-11961,메인비즈기업,세림종합물류(주),1168167625,이성인,H.운수 및 창고업(49~52),기타 운송관련 서비스업,서울 중구 무교로 32905호 (무교동),19,2986666.667,서울특별시,1.6,-96.1,0.3,731.5,4.5,2.4,1.9,0,0,,1,0,1.6
2022-00222,신청기업,(주)티오피퍼니처,1328633699,황은주,C.제조업(10~34),가구 제조업,경기도 남양주시 화도읍 녹촌로135번길30,36,2992500,경기도,NA,159.3,4.3,221.9,1.3,NA,NA,1,0,,1,0,NA
2022-11933,메인비즈기업,용성종합물류(주),1118125649,권영상,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울 강서구 마곡서로 152A동 1215호 (마곡동, 두산더랜드타워)",14,2583333.333,서울특별시,NA,144.9,12.1,201.1,4,NA,NA,0,0,,0,0,NA
2022-00012,신청기업,(주)트랜서핑,6638600289,고신웅,G.도매 및 소매업(45~47),기타 상품 전문 소매업,서울 종로구 율곡로5길 12-2(안국동),20,2500000,서울특별시,2.4,-50.8,7.5,112,1,2.5,2,0,0,,0,0,2.4
2022-00025,신청기업,(주)토네즈,1078638631,"전창은, 이주호",G.도매 및 소매업(45~47),가전제품 및 정보통신장비 소매업,서울 금천구 가산동60-3번지 대륭포스트타워5차 810호,17,3150000,서울특별시,3.5,NA,-1,200.3,1.7,2.3,3,0,0,,0,0,3.5
2022-07228,이노비즈기업,(주)테스,6098150586,신석훈,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,경남 창원시 성산구 창원대로1144번길 36(성주동),23,4725000,경상남도,2.8,4.9,1.9,235.8,0.4,2.9,2.8,0,0,,1,0,2.8
2022-11925,메인비즈기업,(주)이사몰,2158193599,박원재,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"경기 하남시 조정대로 150103호 (덕풍동, 블루존0)",16,NA,경기도,5,161.2,12.9,361.7,2.4,5,5,1,1,,0,0,5
2022-00420,신청기업,(주)태웅로직스,2028153193,한재동,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울특별시 강남구 테헤란로37길 13-6(역삼동, 역삼동 유니빌딩) 9층",280,3755833.333,서울특별시,2.5,732.8,30.7,145.7,4.4,2.6,2.9,1,1,,1,0,2.5
2022-00868,노사문화우수기업,(주)태운,4168172727,한광희,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,전라남도 광양시 제철로 2148-97,96,4395000,전라남도,3,465.5,4.4,369.2,1.9,3,4,1,1,,0,0,3
2022-10959,메인비즈기업,(주)태그린,1148655069,송제혁,I.숙박 및 음식점업(55~56),음식점업,"서울특별시 성동구 성수일로8길 5(성수동2가, SKV1 타워) 901호",15,1895000,서울특별시,2,NA,-26.4,224.7,1.2,3,3,0,0,,1,0,2
2022-10276,메인비즈기업,(주)태건환경건설,2208729107,유승호,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",충청남도 당진시 합덕읍 면천로 1361-46,12,3964166.667,충청남도,NA,16.4,17.8,52.7,2,NA,NA,0,0,,1,0,NA
2022-07714,이노비즈기업,(주)클렌코,3018133965,송인규,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",충북 청주시 청원구 북이면 신대석성로 245,105,4188333.333,충청북도,2,NA,-6.3,700.1,0.6,4,2,0,0,,0,0,2
2022-00238,신청기업,(주)크레스라이트,1288154929,김동선,C.제조업(10~34),전구 및 조명장치 제조업,"경기도 고양시 일산동구 장백로 19(백석동, 더루벤스카운티) 1018호",40,2538333.333,경기도,2,NA,-1.3,112.8,0.2,4,3,0,0,,0,0,2
2022-01630,이노비즈기업,(주)큐에스,5138150247,윤영호,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,"경북 구미시 산동읍 첨단기업1로 17(산동면, 구미전자정보기술원 국산화지원센터) 405호",64,2975833.333,경상북도,3.1,49.2,4.5,127.9,1.9,3.2,3.2,0,0,,0,0,3.1
2022-00271,신청기업,(주)코인텍,1268142785,용석호,C.제조업(10~34),플라스틱제품 제조업,경기 광주시 초월읍 하오개길 38,31,2924166.667,경기도,3,229.7,8.8,85.5,1.3,4,2,1,0,,1,0,3
2022-00166,신청기업,(주)코미코,1258614826,최용하,C.제조업(10~34),반도체 제조업,경기도 안성시 모산로8(신모산동),662,3906666.667,경기도,2.7,91.3,17.9,29.8,0.5,2.4,2.6,1,1,,1,0,2.7
2022-11854,메인비즈기업,(주) 대륙,5048101441,"권장섭,김기현",H.운수 및 창고업(49~52),기타 운송관련 서비스업,대구광역시 동구 효목로 45효일빌딩 6층,75,2595000,대구광역시,1,5.2,18.4,48.8,5.1,3,2,1,0,,1,0,1
2022-00621,신청기업,(주)코넵,1408173815,윤방남,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,"경기 광명시 하안로 60(소하동.광명테크노파크) B동 609,610호",23,2333333.333,경기도,NA,-23.3,6.9,397.4,1.2,NA,NA,1,1,,1,0,NA
2022-00202,신청기업,(주)켐트로스,8388800039,이동훈,C.제조업(10~34),의약품 제조업,경기 안산시 단원구 능안로 7(목내동),135,2500000,경기도,2.6,193.3,5.3,73.2,0.6,2.9,2.2,1,1,,1,0,2.6
2022-00149,신청기업,(주)케이엔케이,1248694467,김동후,C.제조업(10~34),일반 목적용 기계 제조업,경기 화성시 기산로87번길 2(기산동),99,3210833.333,경기도,2.5,NA,-3.4,176.5,0.6,3,2.5,1,0,,0,0,2.5
2022-03965,이노비즈기업,(주)케이씨산업,1268122396,"이강주, 이홍재(각자대표)",F.건설업(41~42),건설업본사(소분류),경기 여주시 가남읍 가남로 465,101,4327500,경기도,1,-27.9,1.2,242.5,0.8,3,3,0,0,,0,0,1
2022-00096,신청기업,(주)컨트롤웍스,2208166279,박승범,G.도매 및 소매업(45~47),상품 종합 도매업,서울특별시 강남구 언주로81길 13,48,2500000,서울특별시,3.3,-21.7,10,11,0.9,2.9,3,0,0,,1,0,3.3
2022-02786,이노비즈기업,(주)충전공영개발,1058148157,이귀식,F.건설업(41~42),건설업본사(소분류),서울 영등포구 신풍로 68(신길동),50,1787500,서울특별시,2.7,-12.6,2.1,156.3,1.9,1.3,2.3,0,0,,0,0,2.7
2022-00138,신청기업,(주)참빛,4208100713,조해봉,G.도매 및 소매업(45~47),상품 중개업,"경기 광주시 고불로 110-3나동 2층(태전동,햇길터)",9,3115833.333,경기도,2.3,-19.3,3.4,333.5,1.1,1.7,2,1,0,,1,0,2.3
2022-08304,이노비즈기업,(주)진흥중공업,1248169018,박찬양,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,경기도 화성시 양감면 정문송산로93번길 10-27(양감면),33,3116666.667,경기도,1,-83.4,5.6,13.5,0.2,3,1,0,0,,0,0,1
2022-07694,이노비즈기업,(주)진화이앤씨,1148131024,"박양원,박종원",F.건설업(41~42),건설업본사(소분류),서울 서초구 도구로1길 50(방배동),44,3416666.667,서울특별시,2.7,-32.8,2.6,48.9,1.6,3.1,2.9,0,0,,1,0,2.7
2022-00108,신청기업,(주)진성육가공,2158728203,유창호,C.제조업(10~34),"도축, 육류 가공 및 저장 처리업",경기도 하남시 천현로134번길 91-21(천현동),25,2504166.667,경기도,NA,15.3,10,29.1,4.2,NA,NA,0,0,,0,0,NA
2022-09852,메인비즈기업,(주)진경,6108186352,이정환,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,울산 울주군 청량읍 화창1길 4-14B L,13,NA,울산광역시,NA,-32.5,0.8,169.9,0.5,NA,NA,1,1,,0,0,NA
2022-08297,이노비즈기업,(주)지제이알미늄,1348143830,유경연,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",경기 화성시 팔탄면 노하길 188-4,66,2968333.333,경기도,2.5,777.5,4.8,228.9,1.7,1.5,2,0,0,,0,0,2.5
2022-00204,신청기업,(주)지음지식서비스,1098638374,"고영호,이영수","M.전문, 과학 및 기술 서비스업(70~73)",회사 본부 및 경영 컨설팅 서비스업,경기도 성남시 수정구 창업로 42(시흥동) 532호,34,2250000,경기도,NA,375.2,4.4,307.6,1.3,NA,NA,0,0,,0,0,NA
2022-00192,신청기업,(주)지엠에스컨설팅,1518700686,김종현,"M.전문, 과학 및 기술 서비스업(70~73)",회사 본부 및 경영 컨설팅 서비스업,서울 마포구 상암산로 34(상암동),17,3330833.333,서울특별시,2,125.9,49.4,34.4,2.5,2.5,3.5,0,0,,0,0,2
2022-00146,신청기업,(주)지비라이트,6228118672,이인환,C.제조업(10~34),기타 섬유제품 제조업,부산광역시 강서구 범방3로30번길 22,106,2666666.667,부산광역시,3,-16.6,5.2,5.2,0.4,3,3,1,1,,0,0,3
2022-00023,신청기업,(주)지란지교시큐리티,1078831670,윤두식,"M.전문, 과학 및 기술 서비스업(70~73)",회사 본부 및 경영 컨설팅 서비스업,서울특별시 강남구 역삼로 542(대치동),143,2666666.667,서울특별시,3.7,1.9,2.2,55.9,0.3,3.9,3.5,1,1,,1,0,3.7
2022-03954,이노비즈기업,(주)조은환경,6138120290,조현철,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","하수, 폐수 및 분뇨 처리업",경상남도 하동군 진교면 구고속도로 489(진교면),20,1657500,경상남도,5,-23.3,4.6,87.1,0.7,1,1,0,0,,1,0,5
2022-10620,메인비즈기업,(주)조은,6038170056,홍출희,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",그 외 기타 개인 서비스업,부산광역시 강서구 녹산산단382로50번길 16(송정동),29,NA,부산광역시,NA,-52.9,2.5,2.5,0.5,NA,NA,1,1,,0,0,NA
2022-05843,이노비즈기업,(주)조양테크,1088163195,심연순,F.건설업(41~42),건설업본사(소분류),서울특별시 금천구 가산디지털2로 67-0(가산동) 에이스하이엔드타워7 13층 1301호,25,2333333.333,서울특별시,3,NA,-3.6,62.6,1,3,3,0,0,,0,0,3
2022-10946,메인비즈기업,(주)제이티컴퍼니,3368700517,임지택,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,강원 원주시 무실밤골길 48(무실동),14,NA,강원도,NA,NA,1.7,163.7,0.2,NA,NA,1,1,,1,0,NA
2022-10327,메인비즈기업,(주)제이케이메탈소재,6088190232,"심희정, 윤원식","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",경상남도 창원시 마산합포구 진북면 삼진의거대로352,23,2739166.667,경상남도,NA,NA,-17.1,2883.3,2,NA,NA,0,0,,0,0,NA
2022-00273,신청기업,(주)제이브이엠,5038131016,이용희,C.제조업(10~34),의료용품 및 기타 의약 관련제품 제조업,대구 달서구 호산동로 121(호산동),315,3083333.333,대구광역시,2.2,33.7,5.8,26.2,0.6,2.7,2.3,1,1,,1,0,2.2
2022-04907,이노비즈기업,(주)제이넷,1358185226,장기헌,F.건설업(41~42),건설업본사(소분류),경기 수원시 팔달구 중부대로223번길 4608호 (우만동),15,3008333.333,경기도,3.4,-39.2,5.7,88.5,0.7,3.9,3.2,1,0,,1,0,3.4
2022-06766,이노비즈기업,(주)일강케이스판,2208133424,김승기,F.건설업(41~42),건설업본사(소분류),서울 강남구 논현로2길 22(개포동),34,3162500,서울특별시,1,NA,1.3,120.4,1,2,1,1,1,,1,0,1
2022-08957,이노비즈기업,(주)이퓨쳐,2148647520,이기현,P.교육 서비스업(85),기타 교육기관,"서울 송파구 백제고분로 914층 (잠실동, LK 빌딩)",45,2058333.333,서울특별시,3.4,216.7,7.7,16.8,0.5,4.2,2.4,1,0,,1,0,3.4
2022-10110,메인비즈기업,(주)이큐글로벌,1268158249,김한준,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,경기도 이천시 마장면 중부대로 665-10,56,3759166.667,경기도,2.7,NA,-0.4,239.7,1.5,3.3,2.7,0,0,,0,0,2.7
2022-07191,이노비즈기업,(주)이알지서비스,1398136746,한성수,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",인천 남동구 남촌동622-10 12블럭 11롯트,36,4221666.667,인천광역시,2.3,-3.3,7.6,44.4,0.4,1.7,3,1,0,,0,0,2.3
2022-05822,이노비즈기업,(주)이씨에스텔레콤,2208168054,현해남,F.건설업(41~42),건설업본사(소분류),"서울 서초구 반포대로28길 84층 (서초동, 일홍빌딩)",167,5341666.667,서울특별시,3.3,27.1,7.5,38.8,1.1,3,3.3,1,1,,0,0,3.3
2022-06349,이노비즈기업,(주)이맥스시스템,1058665715,이종욱,F.건설업(41~42),건설업본사(소분류),"서울특별시 서초구 반포대로 25(서초동, 자동차회관) 지하1층",51,2350000,서울특별시,2,-10.8,5.5,165.5,2.4,2,2.3,1,0,,0,0,2
2022-11846,메인비즈기업,(주)브이로지스틱스,1098155188,권태석,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울 강서구 강서로 4995층 (가양동, 대하빌딩)",21,2967500,서울특별시,2,NA,1.7,111.4,2.6,1.5,2.5,1,1,,0,0,2
2022-00117,신청기업,(주)유에스티,1248720754,방민규,C.제조업(10~34),특수 목적용 기계 제조업,경기 화성시 동탄산단4길 9-16,14,2583333.333,경기도,3.6,30.9,17,76,1.1,3,3.4,0,0,,1,0,3.6
2022-00085,신청기업,(주)유니플로,1408126608,우필제,C.제조업(10~34),일반 목적용 기계 제조업,"경기 안산시 단원구 번영로82번길 21시화공단4마319 (성곡동, 동인엔지니어링)",11,2135833.333,경기도,3.7,-20.4,0.8,123.8,0.4,3,2.7,0,0,,1,0,3.7
2022-01129,인재육성형중소기업,(주)유니온,6128145527,박진규,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,경남 거제시 장평1로9길 21-4(장평동),51,4643333.333,경상남도,2.1,-62.1,0.6,170.4,0.6,2.2,2.1,1,1,,1,0,2.1
2022-00147,신청기업,(주)윌비에스엔티,1308128045,김진우,C.제조업(10~34),플라스틱제품 제조업,경기 화성시 정남면 덕절제기길 45,89,3482500,경기도,2.5,59.3,29,22.6,1.6,1.9,2.5,0,0,,1,0,2.5
2022-00163,신청기업,(주)윌링스,1348604069,안강순,C.제조업(10~34),"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",경기 용인시 처인구 모현면 초부로54번길 7-3(경남창호시스템),95,3105500,경기도,2.5,NA,-0.6,61.7,0.7,2.2,2.9,1,1,,1,0,2.5
2022-07637,이노비즈기업,(주)윈미디텍,1058625329,강명환,F.건설업(41~42),건설업본사(소분류),"서울 영등포구 경인로 7752동 1202호 (문래동3가, 에이스하이테크시티)",37,2990000,서울특별시,2.5,243.2,5.9,94.5,1.8,2,4,1,0,,0,0,2.5
2022-10754,메인비즈기업,(주)월드크리닝,6088177826,한정남,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",그 외 기타 개인 서비스업,경남 양산시 물금읍 가촌동1길 45,13,2375000,경상남도,3,-1.8,3.1,454.5,0.8,1,2,1,0,,0,0,3
2022-10999,메인비즈기업,(주)월드넷코리아,1318158391,최장희,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,인천광역시 부평구 부평대로 283(청천동) 부평우림라이온스밸리 504B호 B동 5층,22,3355000,인천광역시,NA,3.5,29.2,16.2,2.3,NA,NA,1,0,,0,0,NA
2022-03928,이노비즈기업,(주)용호기계기술,4178131336,정성호,F.건설업(41~42),건설업본사(소분류),전남 여수시 여수산단로736 (중흥동),130,3156666.667,전라남도,3,-9.2,3.4,132.3,2.7,3.2,3,1,1,,1,0,3
2022-11838,메인비즈기업,(주)마레콘솔리데이션,1018608181,김연청,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"서울 영등포구 양산로 53(양평동3가, 월드메르디앙비즈센터) 606호",44,2381666.667,서울특별시,1.8,-55.8,1.2,278.1,2.4,1.6,1.9,0,0,,0,0,1.8
2022-04871,이노비즈기업,(주)옥당산업,1078608990,김은영,F.건설업(41~42),건설업본사(소분류),"서울특별시 영등포구 문래북로 83(당산동2가, 제이씨 빌딩) 4층",34,3519166.667,서울특별시,4,185,17.1,4.9,3.5,3.7,4,1,1,,0,0,4
2022-11830,메인비즈기업,(주)기광,7218100580,이용해,H.운수 및 창고업(49~52),보관 및 창고업,전북 완주군 봉동읍 완주산단5로 296,131,2708333.333,전라북도,1,-88.4,0.5,362.6,1.3,2,1,1,1,,0,0,1
2022-15054,가족친화인증기업,(주)한림공원,6168103403,송상섭,"R.예술, 스포츠 및 여가관련 서비스업(90~91)","도서관, 사적지 및 유사 여가관련 서비스업",제주 제주시 한림읍 한림로 300,56,1945000,제주도,1.5,-4.9,5.9,1.1,0.2,1.5,1.3,1,1,,1,0,1.5
2022-01531,이노비즈기업,(주)오썸피아,3958100038,민문호,J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서울특별시 강남구 강남대로58길 33(지하1층),15,2580833.333,서울특별시,3,-39.1,10.5,152.1,0.6,3,3.5,1,0,,1,0,3
2022-00041,신청기업,(주)영완,1348186028,"고병완,김미지자",C.제조업(10~34),자동차 신품 부품 제조업,경기 시흥시 공단1대로27번길 34시화공단 1나 309 (정왕동),88,3058333.333,경기도,2,128,9.9,47.4,0.9,1.5,1,0,0,,0,0,2
2022-05794,이노비즈기업,(주)영신,1388116806,김성진,F.건설업(41~42),건설업본사(소분류),"경기도 하남시 미사강변중앙로7번안길 25(풍산동, U-테크밸리 C타워) 7층",56,NA,경기도,2.5,NA,3.1,256.3,3,3,2.5,0,0,,1,0,2.5
2022-00037,신청기업,(주)엠에스에스글로벌,3068101420,주광옥,C.제조업(10~34),기타 종이 및 판지 제품 제조업,충남 논산시 연무읍 동산산업단지로 101-110호,46,2500000,충청남도,5,-74.8,2.2,44.2,0.6,5,5,1,0,,0,0,5
2022-02747,이노비즈기업,(주)엠디아이,7638100468,김정환,F.건설업(41~42),건설업본사(소분류),"경기도 파주시 월롱면 휴암로79번길 62-72(월롱면) 가,나동",37,3831666.667,경기도,3,414.6,41.1,104.7,3.7,2.5,4,0,0,,1,0,3
